motif,score
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,2.469139018402715
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,3.0864237730033937
different camps,1.2345695092013576
different camps,3.0864237730033937
different camps,3.7037085276040727
different camps,3.0864237730033937
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,3.0864237730033937
different camps,1.2345695092013576
different camps,3.0864237730033937
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,1.8518542638020363
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,3.7037085276040727
different camps,1.8518542638020363
different camps,2.469139018402715
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,1.8518542638020363
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.8518542638020363
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,2.469139018402715
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,3.0864237730033937
different camps,0.6172847546006788
different camps,5.555562791406109
different camps,6.172847546006787
different camps,5.555562791406109
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,4.320993282204751
different camps,1.8518542638020363
different camps,3.0864237730033937
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.8518542638020363
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,1.2345695092013576
